"filename", "language", "C++", "Markdown", "Ignore", "YAML", "JSON", "Dart", "Properties", "Swift", "XML", "HTML", "comment", "blank", "total"
"d:\Project\flutter_apps\class_exchange_manager\lib\examples\exchange_filter_example.dart", "Dart", 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 23, 27, 262
"d:\Project\flutter_apps\class_exchange_manager\lib\examples\new_move_method_example.dart", "Dart", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 26, 26, 186
"d:\Project\flutter_apps\class_exchange_manager\lib\examples\target_cell_background_example.dart", "Dart", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 9, 11, 129
"d:\Project\flutter_apps\class_exchange_manager\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 2, 5, 41
"d:\Project\flutter_apps\class_exchange_manager\lib\models\chain_exchange_path.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 31, 28, 186
"d:\Project\flutter_apps\class_exchange_manager\lib\models\chain_step.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 10, 7, 66
"d:\Project\flutter_apps\class_exchange_manager\lib\models\circular_exchange_path.dart", "Dart", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 18, 28, 151
"d:\Project\flutter_apps\class_exchange_manager\lib\models\document_type.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 8, 7, 53
"d:\Project\flutter_apps\class_exchange_manager\lib\models\exchange_history_item.dart", "Dart", 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 26, 30, 218
"d:\Project\flutter_apps\class_exchange_manager\lib\models\exchange_mode.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 14, 12, 91
"d:\Project\flutter_apps\class_exchange_manager\lib\models\exchange_node.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 14, 9, 76
"d:\Project\flutter_apps\class_exchange_manager\lib\models\exchange_path.dart", "Dart", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 14, 12, 69
"d:\Project\flutter_apps\class_exchange_manager\lib\models\notice_message.dart", "Dart", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 37, 40, 258
"d:\Project\flutter_apps\class_exchange_manager\lib\models\one_to_one_exchange_path.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 20, 28, 180
"d:\Project\flutter_apps\class_exchange_manager\lib\models\supplement_exchange_path.dart", "Dart", 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 22, 33, 240
"d:\Project\flutter_apps\class_exchange_manager\lib\models\teacher.dart", "Dart", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 7, 51
"d:\Project\flutter_apps\class_exchange_manager\lib\models\time_slot.dart", "Dart", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 41, 22, 152
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\cell_selection_provider.dart", "Dart", 0, 0, 0, 0, 0, 375, 0, 0, 0, 0, 79, 70, 524
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\exchange_screen_provider.dart", "Dart", 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 34, 42, 352
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\exchange_view_provider.dart", "Dart", 0, 0, 0, 0, 0, 525, 0, 0, 0, 0, 70, 101, 696
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\navigation_provider.dart", "Dart", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 5
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\notice_message_provider.dart", "Dart", 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 25, 36, 240
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\scroll_provider.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 27, 13, 89
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\services_provider.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 6, 32
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\state_reset_provider.dart", "Dart", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 191, 63, 426
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\substitution_plan_helpers.dart", "Dart", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 22, 21, 182
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\substitution_plan_provider.dart", "Dart", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 18, 23, 128
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\substitution_plan_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 348, 0, 0, 0, 0, 33, 68, 449
"d:\Project\flutter_apps\class_exchange_manager\lib\providers\zoom_provider.dart", "Dart", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 59, 35, 233
"d:\Project\flutter_apps\class_exchange_manager\lib\services\base_exchange_service.dart", "Dart", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 22, 20, 151
"d:\Project\flutter_apps\class_exchange_manager\lib\services\chain_exchange_service.dart", "Dart", 0, 0, 0, 0, 0, 310, 0, 0, 0, 0, 79, 77, 466
"d:\Project\flutter_apps\class_exchange_manager\lib\services\circular_exchange_service.dart", "Dart", 0, 0, 0, 0, 0, 437, 0, 0, 0, 0, 191, 116, 744
"d:\Project\flutter_apps\class_exchange_manager\lib\services\excel_service.dart", "Dart", 0, 0, 0, 0, 0, 612, 0, 0, 0, 0, 233, 127, 972
"d:\Project\flutter_apps\class_exchange_manager\lib\services\exchange_history_service.dart", "Dart", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 55, 58, 365
"d:\Project\flutter_apps\class_exchange_manager\lib\services\exchange_service.dart", "Dart", 0, 0, 0, 0, 0, 685, 0, 0, 0, 0, 186, 161, 1032
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\mixins\exchange_logic_mixin.dart", "Dart", 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 61, 63, 337
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\builders\sidebar_builder.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 13, 14, 134
"d:\Project\flutter_apps\class_exchange_manager\lib\ui\screens\document_screen.dart", "Dart", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 6, 12, 124
